path,object_exist,x,y,w,h
Object/0.png,1,220,176,317,377
Object/1.png,1,294,134,265,453
Object/2.png,1,329,142,224,225
Object/3.png,1,108,307,331,201
Object/4.png,1,125,135,132,291
Object/5.png,1,47,5,289,337
Object/6.png,1,33,90,433,445
Object/7.png,1,260,160,110,94
Object/8.png,1,165,215,205,260
Object/9.png,1,112,289,242,186
Object/10.png,1,330,227,156,224
Object/11.png,1,112,198,147,226
Object/12.png,1,214,110,271,250
Object/13.png,1,304,150,289,267
Object/14.png,1,411,182,74,110
Object/15.png,1,108,51,444,429
Object/16.png,1,62,190,198,206
Object/17.png,1,82,60,297,412
Object/18.png,1,388,350,81,197
Object/19.png,1,208,227,160,172
Object/20.png,1,139,346,314,253
Object/21.png,1,72,65,238,210
Object/22.png,1,175,325,292,148
Object/23.png,1,142,82,450,136
Object/24.png,1,235,12,297,281
Object/25.png,1,288,183,189,237
Object/26.png,1,121,120,160,126
Object/27.png,1,126,105,440,452
Object/28.png,1,21,61,237,383
Object/29.png,1,13,24,431,235
Object/30.png,1,12,41,365,434
Object/31.png,1,106,219,120,205
Object/32.png,1,218,92,378,379
Object/33.png,1,161,7,373,226
Object/34.png,1,92,114,186,410
Object/35.png,1,104,140,392,458
Object/36.png,1,178,218,363,373
Object/37.png,1,269,103,306,261
Object/38.png,1,306,91,265,336
Object/39.png,1,290,479,143,110
Object/40.png,1,238,16,191,274
Object/41.png,1,200,82,253,389
Object/42.png,1,11,331,284,262
Object/43.png,1,117,31,250,231
Object/44.png,1,143,42,71,105
Object/45.png,1,127,279,172,166
Object/46.png,1,92,47,476,494
Object/47.png,1,242,11,242,336
Object/48.png,1,434,222,55,135
Object/49.png,1,92,13,421,452
Object/50.png,1,328,92,226,182
Object/51.png,1,35,188,225,198
Object/52.png,1,128,326,366,186
Object/53.png,1,16,474,384,116
Object/54.png,1,81,147,476,451
Object/55.png,1,14,19,221,276
Object/56.png,1,250,295,244,192
Object/57.png,1,144,46,444,456
Object/58.png,1,269,230,188,303
Object/59.png,1,14,123,260,141
Object/60.png,1,105,62,369,439
Object/61.png,1,131,111,253,432
Object/62.png,1,308,218,223,224
Object/63.png,1,72,102,378,229
Object/64.png,1,155,56,176,388
Object/65.png,1,130,82,297,347
Object/66.png,1,131,2,363,373
Object/67.png,1,55,156,252,215
Object/68.png,1,265,82,313,397
Object/69.png,1,107,155,491,378
Object/70.png,1,6,156,226,324
Object/71.png,1,88,216,86,133
Object/72.png,1,5,82,376,347
Object/73.png,1,333,403,165,152
Object/74.png,1,225,139,287,423
Object/75.png,1,92,226,363,351
Object/76.png,1,34,136,275,286
Object/77.png,1,347,184,112,156
Object/78.png,1,201,224,57,138
Object/79.png,1,81,33,434,466
Object/80.png,1,4,257,413,333
Object/81.png,1,190,48,186,164
Object/82.png,1,78,330,426,216
Object/83.png,1,239,496,223,67
Object/84.png,1,55,104,201,190
Object/85.png,1,150,20,398,498
Object/86.png,1,147,303,303,238
Object/87.png,1,51,186,189,195
Object/88.png,1,68,126,253,409
Object/89.png,1,91,68,483,263
Object/90.png,1,255,153,284,338
Object/91.png,1,15,94,277,474
Object/92.png,1,477,315,103,104
Object/93.png,1,47,114,432,262
Object/94.png,1,65,157,51,113
Object/95.png,1,139,23,427,498
Object/96.png,1,74,10,356,366
Object/97.png,1,20,193,404,345
Object/98.png,1,274,12,284,360
Object/99.png,1,152,121,444,342
Object/100.png,1,287,101,89,128
Object/101.png,1,352,191,65,101
Object/102.png,1,452,311,140,129
Object/103.png,1,135,213,377,348
Object/104.png,1,451,195,72,106
Object/105.png,1,302,263,179,173
Object/106.png,1,137,284,273,283
Object/107.png,1,61,117,315,437
Object/108.png,1,279,92,138,334
Object/109.png,1,50,56,282,303
Object/110.png,1,367,24,154,124
Object/111.png,1,223,391,220,194
Object/112.png,1,3,303,384,195
Object/113.png,1,336,420,200,60
Object/114.png,1,119,225,263,249
Object/115.png,1,277,53,103,129
Object/116.png,1,18,22,329,259
Object/117.png,1,161,14,392,403
Object/118.png,1,262,431,85,138
Object/119.png,1,226,64,128,69
Object/120.png,1,32,57,360,428
Object/121.png,1,92,2,210,360
Object/122.png,1,108,46,224,225
Object/123.png,1,82,152,240,145
Object/124.png,1,100,30,224,494
Object/125.png,1,386,159,209,244
Object/126.png,1,82,27,417,428
Object/127.png,1,66,226,202,172
Object/128.png,1,262,136,265,337
Object/129.png,1,178,197,397,305
Object/130.png,1,146,14,302,433
Object/131.png,1,91,421,105,161
Object/132.png,1,123,49,359,331
Object/133.png,1,73,127,483,446
Object/134.png,1,308,63,278,410
Object/135.png,1,104,407,194,187
Object/136.png,1,18,5,469,487
Object/137.png,1,202,166,227,315
Object/138.png,1,288,234,140,338
Object/139.png,1,220,174,358,385
Object/140.png,1,186,224,394,318
Object/141.png,1,263,330,268,236
Object/142.png,1,177,353,412,209
Object/143.png,1,178,17,216,65
Object/144.png,1,318,241,199,188
Object/145.png,1,211,77,381,476
Object/146.png,1,133,124,425,334
Object/147.png,1,132,131,184,189
Object/148.png,1,353,59,191,309
Object/149.png,1,205,236,228,124
Object/150.png,1,329,255,132,157
Object/151.png,1,324,227,81,139
Object/152.png,1,22,12,494,495
Object/153.png,1,260,401,241,146
Object/154.png,1,186,206,87,193
Object/155.png,1,79,95,423,494
Object/156.png,1,76,207,136,140
Object/157.png,1,415,169,163,139
Object/158.png,1,111,19,242,308
Object/159.png,1,18,117,466,359
Object/160.png,1,145,73,286,411
Object/161.png,1,157,104,322,494
Object/162.png,1,108,394,166,153
Object/163.png,1,330,278,204,188
Object/164.png,1,1,286,104,153
Object/165.png,1,128,255,344,332
Object/166.png,1,329,132,217,225
Object/167.png,1,372,32,186,258
Object/168.png,1,393,294,62,150
Object/169.png,1,178,23,362,389
Object/170.png,1,82,197,194,156
Object/171.png,1,223,391,203,179
Object/172.png,1,310,40,106,53
Object/173.png,1,104,398,423,128
Object/174.png,1,125,251,330,312
Object/175.png,1,224,58,333,416
Object/176.png,1,142,176,434,341
Object/177.png,1,198,39,276,284
Object/178.png,1,222,29,283,457
Object/179.png,1,55,138,416,226
Object/180.png,1,142,204,179,213
Object/181.png,1,366,194,206,353
Object/182.png,1,80,35,255,256
Object/183.png,1,180,193,398,241
Object/184.png,1,200,99,212,469
Object/185.png,1,324,26,131,153
Object/186.png,1,119,74,230,237
Object/187.png,1,103,242,273,233
Object/188.png,1,229,69,290,368
Object/189.png,1,107,128,421,324
Object/190.png,1,26,119,316,454
Object/191.png,1,58,24,311,478
Object/192.png,1,7,79,439,405
Object/193.png,1,276,362,129,119
Object/194.png,1,121,71,309,455
Object/195.png,1,18,349,108,104
Object/196.png,1,468,95,120,125
Object/197.png,1,393,214,135,188
Object/198.png,1,266,119,147,356
Object/199.png,1,27,345,231,248
Object/200.png,1,190,129,177,143
Object/201.png,1,243,130,222,196
Object/202.png,1,222,437,163,82
Object/203.png,1,88,48,422,128
Object/204.png,1,324,348,124,117
Object/205.png,1,61,353,128,160
Object/206.png,1,230,76,207,163
Object/207.png,1,17,266,296,304
Object/208.png,1,129,92,206,332
Object/209.png,1,288,333,286,156
Object/210.png,1,168,312,211,251
Object/211.png,1,244,137,270,462
Object/212.png,1,179,233,336,337
Object/213.png,1,12,312,456,277
Object/214.png,1,176,47,155,342
Object/215.png,1,27,52,273,319
Object/216.png,1,203,108,317,326
Object/217.png,1,304,276,149,127
Object/218.png,1,18,6,336,426
Object/219.png,1,47,112,480,369
Object/220.png,1,180,144,184,264
Object/221.png,1,133,306,67,104
Object/222.png,1,371,182,126,116
Object/223.png,1,313,298,255,235
Object/224.png,1,106,77,208,307
Object/225.png,1,228,141,256,247
Object/226.png,1,147,101,425,441
Object/227.png,1,88,33,345,479
Object/228.png,1,368,13,198,478
Object/229.png,1,18,119,315,339
Object/230.png,1,223,309,290,234
Object/231.png,1,256,403,176,155
Object/232.png,1,102,459,216,109
Object/233.png,1,67,37,465,141
Object/234.png,1,256,404,111,105
Object/235.png,1,322,141,273,341
Object/236.png,1,247,202,227,178
Object/237.png,1,67,205,382,393
Object/238.png,1,102,35,222,358
Object/239.png,1,183,181,335,182
Object/240.png,1,95,55,382,454
Object/241.png,1,190,155,217,371
Object/242.png,1,34,268,114,115
Object/243.png,1,82,160,255,154
Object/244.png,1,88,74,213,471
Object/245.png,1,146,158,308,360
Object/246.png,1,92,86,361,371
Object/247.png,1,259,98,334,285
Object/248.png,1,268,166,296,376
Object/249.png,1,10,186,105,80
Object/250.png,1,288,252,114,164
Object/251.png,1,54,232,193,296
Object/252.png,1,63,178,362,334
Object/253.png,1,106,3,407,376
Object/254.png,1,457,368,79,117
Object/255.png,1,184,228,356,344
Object/256.png,1,352,10,151,157
Object/257.png,1,130,141,83,115
Object/258.png,1,224,324,98,237
Object/259.png,1,117,82,464,499
Object/260.png,1,105,43,408,329
Object/261.png,1,5,28,476,420
Object/262.png,1,113,316,405,205
Object/263.png,1,451,374,104,31
Object/264.png,1,241,398,207,196
Object/265.png,1,84,58,265,331
Object/266.png,1,144,14,104,81
Object/267.png,1,108,113,417,429
Object/268.png,1,191,202,100,162
Object/269.png,1,110,175,344,187
Object/270.png,1,336,284,106,127
Object/271.png,1,154,131,265,453
Object/272.png,1,277,4,242,243
Object/273.png,1,122,56,292,177
Object/274.png,1,140,197,167,368
Object/275.png,1,174,222,308,360
Object/276.png,1,74,88,373,383
Object/277.png,1,230,314,287,245
Object/278.png,1,204,68,355,451
Object/279.png,1,167,413,210,161
Object/280.png,1,142,100,326,468
Object/281.png,1,186,11,236,363
Object/282.png,1,9,47,398,368
Object/283.png,1,144,220,227,209
Object/284.png,1,304,96,278,410
Object/285.png,1,272,273,312,301
Object/286.png,1,77,12,415,431
Object/287.png,1,73,170,251,348
Object/288.png,1,397,111,152,369
Object/289.png,1,146,24,379,407
Object/290.png,1,193,188,339,273
Object/291.png,1,179,159,204,180
Object/292.png,1,22,13,364,185
Object/293.png,1,101,212,425,129
Object/294.png,1,27,164,146,138
Object/295.png,1,273,243,177,221
Object/296.png,1,9,239,222,174
Object/297.png,1,339,191,98,101
Object/298.png,1,250,144,226,365
Object/299.png,1,6,110,452,246
Object/300.png,1,92,11,345,411
Object/301.png,1,440,225,89,153
Object/302.png,1,61,21,231,232
Object/303.png,1,29,224,371,225
Object/304.png,1,235,63,173,383
Object/305.png,1,324,179,231,270
Object/306.png,1,159,35,260,267
Object/307.png,1,136,192,214,182
Object/308.png,1,53,79,381,484
Object/309.png,1,87,103,485,373
Object/310.png,1,222,27,152,219
Object/311.png,1,150,59,118,182
Object/312.png,1,162,147,394,364
Object/313.png,1,302,409,145,134
Object/314.png,1,138,119,314,463
Object/315.png,1,287,325,162,156
Object/316.png,1,269,277,163,169
Object/317.png,1,148,9,286,397
Object/318.png,1,167,222,62,151
Object/319.png,1,102,54,444,477
Object/320.png,1,75,310,162,130
Object/321.png,1,9,83,275,242
Object/322.png,1,82,286,416,211
Object/323.png,1,335,446,240,73
Object/324.png,1,236,103,196,185
Object/325.png,1,45,243,220,275
Object/326.png,1,124,34,202,159
Object/327.png,1,304,16,282,290
Object/328.png,1,262,148,235,380
Object/329.png,1,88,295,467,254
Object/330.png,1,33,66,307,365
Object/331.png,1,199,175,230,394
